fuel,seller_type,transmission,owner,seats
Diesel,Individual,Manual,First Owner,7
Diesel,Individual,Manual,First Owner,5
Petrol,Individual,Automatic,First Owner,5
Diesel,Individual,Manual,First Owner,5
Petrol,Individual,Manual,Second Owner,5
Diesel,Dealer,Manual,First Owner,6
Petrol,Individual,Manual,First Owner,5
Petrol,Individual,Manual,Second Owner,5
Petrol,Individual,Manual,Second Owner,5
Diesel,Individual,Manual,First Owner,5
Diesel,Individual,Automatic,First Owner,5
Petrol,Dealer,Automatic,First Owner,5
Diesel,Dealer,Manual,First Owner,5
Petrol,Individual,Manual,First Owner,5
Petrol,Individual,Manual,First Owner,5
Petrol,Individual,Automatic,First Owner,5
Petrol,Individual,Manual,First Owner,7
Diesel,Individual,Manual,Second Owner,5
Petrol,Dealer,Manual,First Owner,5
Petrol,Individual,Manual,First Owner,5
Diesel,Individual,Manual,Second Owner,5
Petrol,Individual,Manual,Second Owner,5
Diesel,Individual,Manual,First Owner,5
Petrol,Individual,Automatic,First Owner,4
Diesel,Individual,Manual,First Owner,5
Diesel,Dealer,Manual,First Owner,5
Diesel,Individual,Manual,Second Owner,5
Diesel,Individual,Manual,First Owner,7
Diesel,Individual,Manual,First Owner,5
Diesel,Individual,Manual,Third Owner,5
Diesel,Individual,Manual,First Owner,7
Diesel,Individual,Automatic,First Owner,5
Diesel,Individual,Manual,Second Owner,8
Petrol,Individual,Manual,Second Owner,5
Diesel,Individual,Manual,First Owner,5
Petrol,Individual,Manual,Second Owner,5
Petrol,Individual,Automatic,Fourth & Above Owner,5
Diesel,Individual,Manual,First Owner,5
Petrol,Dealer,Manual,First Owner,7
Petrol,Dealer,Automatic,First Owner,5
Diesel,Individual,Manual,Third Owner,5
Diesel,Individual,Manual,First Owner,5
Petrol,Individual,Manual,Second Owner,5
Diesel,Individual,Manual,Third Owner,5
CNG,Individual,Manual,First Owner,5
Diesel,Individual,Manual,First Owner,7
Diesel,Individual,Manual,Third Owner,5
Petrol,Individual,Manual,Second Owner,5
Petrol,Individual,Manual,First Owner,7
Petrol,Individual,Manual,First Owner,5
Petrol,Individual,Manual,First Owner,5
Petrol,Individual,Manual,Fourth & Above Owner,5
Diesel,Individual,Manual,First Owner,5
Diesel,Individual,Manual,First Owner,7
Petrol,Individual,Manual,First Owner,5
Petrol,Individual,Manual,First Owner,5
Petrol,Individual,Manual,First Owner,5
Diesel,Individual,Manual,Third Owner,5
Petrol,Individual,Manual,First Owner,5
Diesel,Individual,Manual,First Owner,5
Petrol,Trustmark Dealer,Manual,First Owner,5
Diesel,Dealer,Automatic,First Owner,5
Petrol,Individual,Manual,First Owner,5
Petrol,Individual,Manual,First Owner,5
Diesel,Individual,Manual,First Owner,5
Diesel,Individual,Manual,First Owner,5
Petrol,Individual,Manual,First Owner,5
Diesel,Individual,Manual,First Owner,5
Petrol,Individual,Manual,Second Owner,7
Petrol,Individual,Manual,First Owner,5
Petrol,Individual,Manual,Second Owner,5
Petrol,Individual,Manual,Second Owner,5
Diesel,Individual,Manual,First Owner,5
Petrol,Dealer,Manual,First Owner,5
Diesel,Individual,Manual,Second Owner,7
Diesel,Dealer,Automatic,First Owner,5
Petrol,Individual,Manual,Second Owner,5
Petrol,Trustmark Dealer,Manual,First Owner,5
Diesel,Individual,Manual,Second Owner,5
Diesel,Individual,Manual,First Owner,7
Diesel,Individual,Manual,First Owner,7
Petrol,Dealer,Manual,First Owner,5
Petrol,Individual,Manual,First Owner,5
Petrol,Individual,Automatic,First Owner,5
Diesel,Individual,Manual,First Owner,5
Petrol,Individual,Manual,First Owner,5
Diesel,Dealer,Manual,First Owner,5
Diesel,Individual,Manual,First Owner,5
Diesel,Individual,Manual,First Owner,5
Diesel,Individual,Automatic,First Owner,7
Petrol,Individual,Manual,First Owner,5
Diesel,Individual,Manual,First Owner,5
Diesel,Dealer,Manual,First Owner,5
Petrol,Individual,Manual,Second Owner,5
Diesel,Dealer,Manual,First Owner,5
Petrol,Dealer,Automatic,First Owner,5
Diesel,Individual,Manual,First Owner,5
Diesel,Individual,Manual,Second Owner,7
Diesel,Individual,Manual,First Owner,7
Diesel,Dealer,Manual,First Owner,5
Petrol,Individual,Manual,First Owner,5
Diesel,Individual,Manual,First Owner,5
Diesel,Individual,Automatic,First Owner,5
Petrol,Trustmark Dealer,Automatic,First Owner,5
Petrol,Individual,Manual,Second Owner,5
Petrol,Individual,Manual,First Owner,5
Diesel,Individual,Manual,First Owner,5
Petrol,Individual,Manual,Third Owner,7
Petrol,Individual,Manual,Second Owner,5
Petrol,Individual,Automatic,First Owner,5
Diesel,Individual,Manual,Second Owner,5
Diesel,Individual,Manual,First Owner,5
Diesel,Individual,Manual,Second Owner,5
Diesel,Individual,Manual,First Owner,7
Petrol,Individual,Manual,Second Owner,5
Petrol,Individual,Manual,Third Owner,5
Petrol,Individual,Manual,First Owner,4
Diesel,Individual,Automatic,Second Owner,5
Diesel,Individual,Manual,First Owner,5
Diesel,Individual,Manual,Second Owner,5
Diesel,Individual,Manual,Second Owner,7
Diesel,Individual,Manual,First Owner,5
Petrol,Individual,Automatic,First Owner,5
Petrol,Individual,Manual,Second Owner,5
Petrol,Individual,Manual,Third Owner,5
Petrol,Individual,Manual,First Owner,5
Petrol,Individual,Manual,First Owner,5
Petrol,Individual,Manual,First Owner,5
Diesel,Individual,Manual,Second Owner,7
Diesel,Individual,Manual,Second Owner,5
Petrol,Individual,Manual,Second Owner,5
Petrol,Individual,Manual,First Owner,5
Diesel,Individual,Manual,Second Owner,5
Diesel,Individual,Manual,First Owner,7
Petrol,Individual,Manual,First Owner,5
Diesel,Individual,Manual,First Owner,7
Diesel,Individual,Manual,Second Owner,5
Diesel,Individual,Manual,First Owner,7
Diesel,Individual,Manual,Fourth & Above Owner,5
Diesel,Individual,Manual,Second Owner,7
Petrol,Individual,Manual,Second Owner,5
Diesel,Individual,Manual,First Owner,5
Petrol,Trustmark Dealer,Automatic,First Owner,5
Petrol,Individual,Manual,First Owner,5
Petrol,Individual,Manual,First Owner,5
Diesel,Individual,Manual,Second Owner,5
Diesel,Dealer,Manual,First Owner,5
Petrol,Individual,Manual,Second Owner,5
Diesel,Individual,Automatic,First Owner,5
Petrol,Dealer,Manual,Second Owner,5
Petrol,Individual,Manual,First Owner,5
Petrol,Individual,Manual,First Owner,5
Petrol,Individual,Manual,First Owner,5
Petrol,Individual,Manual,Second Owner,5
Diesel,Individual,Manual,First Owner,7
Diesel,Individual,Manual,Second Owner,7
Diesel,Individual,Manual,Second Owner,5
Petrol,Individual,Manual,Third Owner,5
Diesel,Dealer,Manual,First Owner,5
Diesel,Individual,Manual,Second Owner,5
CNG,Individual,Manual,First Owner,5
Diesel,Dealer,Manual,First Owner,5
Diesel,Individual,Manual,Second Owner,5
Petrol,Individual,Manual,Second Owner,5
Diesel,Individual,Manual,Second Owner,7
Diesel,Individual,Manual,Second Owner,5
Diesel,Individual,Manual,First Owner,5
Petrol,Individual,Manual,First Owner,5
Diesel,Individual,Manual,Second Owner,7
Diesel,Individual,Manual,First Owner,5
Diesel,Dealer,Manual,First Owner,7
Diesel,Individual,Manual,Second Owner,5
Petrol,Individual,Manual,Third Owner,5
Diesel,Individual,Manual,Second Owner,5
Petrol,Individual,Manual,First Owner,5
Diesel,Individual,Manual,First Owner,7
Petrol,Individual,Manual,Second Owner,5
Petrol,Individual,Manual,Second Owner,5
Petrol,Individual,Manual,First Owner,5
Petrol,Individual,Manual,Second Owner,5
Diesel,Individual,Manual,First Owner,7
Diesel,Individual,Manual,First Owner,5
Diesel,Dealer,Automatic,First Owner,5
Diesel,Individual,Manual,First Owner,7
Petrol,Individual,Manual,Third Owner,5
Diesel,Individual,Manual,First Owner,7
Diesel,Individual,Manual,First Owner,8
Petrol,Individual,Manual,Second Owner,5
Petrol,Individual,Manual,Second Owner,5
Diesel,Dealer,Manual,Second Owner,5
Petrol,Individual,Manual,Second Owner,5
Petrol,Individual,Manual,Second Owner,5
Diesel,Individual,Manual,First Owner,5
Petrol,Dealer,Manual,First Owner,5
Petrol,Dealer,Manual,First Owner,5
CNG,Individual,Manual,First Owner,4
Petrol,Individual,Manual,Third Owner,5
Diesel,Individual,Manual,First Owner,8
Diesel,Individual,Manual,First Owner,5
Diesel,Individual,Manual,First Owner,9
Petrol,Trustmark Dealer,Automatic,First Owner,5
Diesel,Dealer,Automatic,First Owner,5
Petrol,Individual,Manual,First Owner,5
Petrol,Individual,Manual,First Owner,5
Diesel,Dealer,Manual,Second Owner,5
Petrol,Individual,Manual,First Owner,5
Petrol,Individual,Manual,First Owner,5
Diesel,Individual,Manual,First Owner,8
Diesel,Individual,Manual,Second Owner,5
